area_ha,region,dist_perc,year,extent_m2,grid_n,grid_area_m2,cent_lon,cent_lat,min_lon,min_lat,max_lon,max_lat,samples_total_checklists,samples_median_checklists,samples_total_obs,samples_median_obs,samples_date_min,samples_date_max,samples_n_years_min,samples_n_years_max,samples_n_years_median
10000,10 - Northern Rockies,dist_100,2020,808880255025.0757,155,15642724832.050732,-114.80457025930458,47.44716835088561,-124.16320520465742,41.96096805968677,-108.74455633918387,54.235154669291774,5230,13,443,1,18383,18474,5,13,10
10000,10 - Northern Rockies,dist_100,2021,917420581198.4341,170,17156536912.57178,-114.30483569764016,46.99654159161233,-124.16719502128016,40.39967857796543,-106.1531360096504,54.235154669291774,6055,12.5,418,1,18748,18839,5,13,10
10000,10 - Northern Rockies,dist_100,2022,855303825494.3877,165,16651932885.731428,-114.26292302134736,47.011750330649896,-124.30145495439264,41.310120280155985,-105.65167077817891,54.451137353396156,6452,14,378,1,19113,19204,5,13,10
10000,11 - Prairie Potholes,dist_100,2010,155064817448.03845,7,706445637.576477,-111.13647146169356,49.81861565475149,-113.90800393799339,47.279932295157764,-105.92606909724813,52.29589615566654,33,4,7,1,14732,14820,5,13,12
10000,11 - Prairie Potholes,dist_100,2011,163239402682.8519,10,1009208053.680687,-111.13476107450536,49.857116336647536,-114.06093237268635,47.279932295157764,-106.54803869830563,51.81578845643847,39,3.5,15,1,15097,15185,5,13,11.5
10000,11 - Prairie Potholes,dist_100,2012,186249346306.77194,20,2018416107.3613777,-110.81437017465763,49.90135255825047,-113.81065371147773,47.6361534152271,-106.19802057183793,51.81578845643847,207,2.5,22,1,15461,15552,5,13,9.5
10000,11 - Prairie Potholes,dist_100,2013,130793363757.01773,28,2825782550.305931,-110.35701101468496,49.210778957866324,-114.24976307635298,47.279932295157764,-106.43123680746632,51.36778075910841,900,3,40,1,15826,15917,5,13,10.5
10000,11 - Prairie Potholes,dist_100,2014,200832402682.45807,33,3330386577.146267,-110.48242593977761,49.27485782709771,-113.9736726422453,47.279932295157764,-106.14893403502471,51.79994209795692,356,4,42,1,16191,16279,5,13,8
10000,11 - Prairie Potholes,dist_100,2015,235952842950.54596,48,4844198657.667316,-110.1519358401064,49.38593945894403,-114.46135578342357,47.47658513466739,-102.60824127203183,51.798167972207736,658,4.5,90,1,16556,16647,5,13,9
10000,11 - Prairie Potholes,dist_100,2016,216172365098.40445,57,5752485905.979942,-110.57917808462255,49.21392640809953,-113.91984368297298,47.279932295157764,-104.395808008697,51.435588788019075,969,9,119,1,16922,17013,5,13,9
10000,11 - Prairie Potholes,dist_100,2017,265118955701.91815,81,8174585234.81361,-110.314087855202,49.28563917084526,-114.08875440254941,47.29836849010489,-104.432589613294,51.93414226517058,1069,6,151,1,17287,17378,5,13,8
10000,11 - Prairie Potholes,dist_100,2018,264362049661.6573,72,7266297986.500977,-109.92033974019898,49.331459212733776,-113.78627593407813,47.47658513466739,-103.97722451414994,51.85579098693187,1016,8,137,1,17652,17743,5,13,8
10000,11 - Prairie Potholes,dist_100,2019,298977885902.9054,95,9587476509.966587,-109.85707481527447,49.42464213552236,-114.62623504754475,47.47658513466739,-103.93514642993546,52.14122453900466,1826,7,164,1,18017,18108,5,13,8
